Age,Income,LoanAmount,CreditScore,EmploymentLength,DebtToIncomeRatio,OpenCreditLines,LatePayments,HomeOwnership,LoanPurpose,AppSessionTime,UtilityPaymentLatency,SocialSentimentScore,OverdraftFrequency,NumInquiries,BankLoyaltyScore,SupportContactFrequency,DeviceType,TransactionConsistency,NighttimeTransactionRatio,LoanStatus
25,45741,9744,638,16,0.95,11,0,OWN,home_improvement,13.9,30,76.9,0,6,5,10,desktop,49.9,0.181,1
55,44084,14750,688,21,0.95,1,2,OWN,debt_consolidation,2.7,1,63.5,0,8,1,2,mobile,77.9,0.103,0
50,76576,14093,692,20,0.95,13,0,RENT,other,4.7,5,66.5,5,8,18,10,mobile,69.1,0.068,1
40,78323,8983,610,26,0.95,6,2,RENT,debt_consolidation,6.3,10,76.6,1,9,9,0,desktop,74.3,0.131,0
40,42583,3517,631,0,0.95,5,0,RENT,other,17.6,1,83.8,0,8,18,1,mobile,70.8,0.102,0
59,45188,5754,635,11,0.95,8,0,RENT,debt_consolidation,11.1,0,57.1,1,0,1,10,desktop,53.3,0.164,1
24,69114,12153,670,22,0.95,9,1,MORTGAGE,education,4.6,20,76.3,5,4,1,6,mobile,76.4,0.114,1
52,37331,4817,789,4,0.95,9,0,MORTGAGE,car,11.3,20,90.6,5,7,20,3,desktop,99.0,0.123,1
30,45038,7858,628,13,0.95,1,0,RENT,debt_consolidation,10.1,1,88.0,0,8,5,2,mobile,82.1,0.235,0
25,56405,10254,626,12,0.95,13,0,RENT,debt_consolidation,9.1,0,60.6,1,2,10,0,desktop,59.5,0.266,0
44,84810,16120,617,24,0.95,6,2,OWN,home_improvement,10.8,5,72.1,8,8,3,2,mobile,55.3,0.096,1
64,41272,7115,714,29,0.95,3,0,RENT,medical,8.2,0,78.5,1,7,5,1,mobile,71.5,0.125,1
54,23645,6923,677,3,0.95,9,0,OWN,debt_consolidation,8.7,4,68.3,0,5,12,8,mobile,75.6,0.134,1
55,22869,8769,630,6,0.95,10,0,MORTGAGE,debt_consolidation,1.8,0,64.5,2,3,1,11,desktop,70.4,0.172,1
